Province,Month,Year,Events,Fatalities
Haut-Uele,January,1997,0,0
Haut-Uele,February,1997,0,0
Haut-Uele,March,1997,0,0
Haut-Uele,April,1997,0,0
Haut-Uele,May,1997,0,0
Haut-Uele,June,1997,0,0
Haut-Uele,July,1997,0,0
Haut-Uele,August,1997,0,0
Haut-Uele,September,1997,0,0
Haut-Uele,October,1997,0,0
Haut-Uele,November,1997,0,0
Haut-Uele,December,1997,0,0
Haut-Uele,January,1998,0,0
Haut-Uele,February,1998,0,0
Haut-Uele,March,1998,0,0
Haut-Uele,April,1998,0,0
Haut-Uele,May,1998,0,0
Haut-Uele,June,1998,0,0
Haut-Uele,July,1998,0,0
Haut-Uele,August,1998,0,0
Haut-Uele,September,1998,0,0
Haut-Uele,October,1998,0,0
Haut-Uele,November,1998,0,0
Haut-Uele,December,1998,0,0
Haut-Uele,January,1999,0,0
Haut-Uele,February,1999,0,0
Haut-Uele,March,1999,0,0
Haut-Uele,April,1999,0,0
Haut-Uele,May,1999,0,0
Haut-Uele,June,1999,0,0
Haut-Uele,July,1999,0,0
Haut-Uele,August,1999,0,0
Haut-Uele,September,1999,0,0
Haut-Uele,October,1999,0,0
Haut-Uele,November,1999,0,0
Haut-Uele,December,1999,0,0
Haut-Uele,January,2000,0,0
Haut-Uele,February,2000,0,0
Haut-Uele,March,2000,0,0
Haut-Uele,April,2000,0,0
Haut-Uele,May,2000,0,0
Haut-Uele,June,2000,0,0
Haut-Uele,July,2000,0,0
Haut-Uele,August,2000,0,0
Haut-Uele,September,2000,0,0
Haut-Uele,October,2000,0,0
Haut-Uele,November,2000,0,0
Haut-Uele,December,2000,0,0
Haut-Uele,January,2001,0,0
Haut-Uele,February,2001,0,0
Haut-Uele,March,2001,0,0
Haut-Uele,April,2001,0,0
Haut-Uele,May,2001,0,0
Haut-Uele,June,2001,0,0
Haut-Uele,July,2001,0,0
Haut-Uele,August,2001,0,0
Haut-Uele,September,2001,0,0
Haut-Uele,October,2001,0,0
Haut-Uele,November,2001,0,0
Haut-Uele,December,2001,0,0
Haut-Uele,January,2002,0,0
Haut-Uele,February,2002,0,0
Haut-Uele,March,2002,0,0
Haut-Uele,April,2002,0,0
Haut-Uele,May,2002,0,0
Haut-Uele,June,2002,0,0
Haut-Uele,July,2002,0,0
Haut-Uele,August,2002,0,0
Haut-Uele,September,2002,0,0
Haut-Uele,October,2002,0,0
Haut-Uele,November,2002,0,0
Haut-Uele,December,2002,0,0
Haut-Uele,January,2003,0,0
Haut-Uele,February,2003,0,0
Haut-Uele,March,2003,0,0
Haut-Uele,April,2003,0,0
Haut-Uele,May,2003,0,0
Haut-Uele,June,2003,0,0
Haut-Uele,July,2003,0,0
Haut-Uele,August,2003,0,0
Haut-Uele,September,2003,0,0
Haut-Uele,October,2003,0,0
Haut-Uele,November,2003,0,0
Haut-Uele,December,2003,0,0
Haut-Uele,January,2004,0,0
Haut-Uele,February,2004,0,0
Haut-Uele,March,2004,0,0
Haut-Uele,April,2004,0,0
Haut-Uele,May,2004,0,0
Haut-Uele,June,2004,0,0
Haut-Uele,July,2004,0,0
Haut-Uele,August,2004,0,0
Haut-Uele,September,2004,0,0
Haut-Uele,October,2004,0,0
Haut-Uele,November,2004,0,0
Haut-Uele,December,2004,0,0
Haut-Uele,January,2005,0,0
Haut-Uele,February,2005,0,0
Haut-Uele,March,2005,0,0
Haut-Uele,April,2005,0,0
Haut-Uele,May,2005,0,0
Haut-Uele,June,2005,0,0
Haut-Uele,July,2005,0,0
Haut-Uele,August,2005,0,0
Haut-Uele,September,2005,0,0
Haut-Uele,October,2005,0,0
Haut-Uele,November,2005,0,0
Haut-Uele,December,2005,0,0
Haut-Uele,January,2006,0,0
Haut-Uele,February,2006,0,0
Haut-Uele,March,2006,1,0
Haut-Uele,April,2006,1,0
Haut-Uele,May,2006,0,0
Haut-Uele,June,2006,0,0
Haut-Uele,July,2006,0,0
Haut-Uele,August,2006,0,0
Haut-Uele,September,2006,1,0
Haut-Uele,October,2006,0,0
Haut-Uele,November,2006,0,0
Haut-Uele,December,2006,0,0
Haut-Uele,January,2007,0,0
Haut-Uele,February,2007,0,0
Haut-Uele,March,2007,0,0
Haut-Uele,April,2007,0,0
Haut-Uele,May,2007,0,0
Haut-Uele,June,2007,0,0
Haut-Uele,July,2007,0,0
Haut-Uele,August,2007,0,0
Haut-Uele,September,2007,0,0
Haut-Uele,October,2007,0,0
Haut-Uele,November,2007,0,0
Haut-Uele,December,2007,0,0
Haut-Uele,January,2008,0,0
Haut-Uele,February,2008,0,0
Haut-Uele,March,2008,0,0
Haut-Uele,April,2008,0,0
Haut-Uele,May,2008,0,0
Haut-Uele,June,2008,0,0
Haut-Uele,July,2008,0,0
Haut-Uele,August,2008,0,0
Haut-Uele,September,2008,0,0
Haut-Uele,October,2008,0,0
Haut-Uele,November,2008,0,0
Haut-Uele,December,2008,0,0
Haut-Uele,January,2009,0,0
Haut-Uele,February,2009,0,0
Haut-Uele,March,2009,0,0
Haut-Uele,May,2009,0,0
Haut-Uele,June,2009,0,0
Haut-Uele,August,2009,0,0
Haut-Uele,September,2009,0,0
Haut-Uele,October,2009,0,0
Haut-Uele,November,2009,0,0
Haut-Uele,December,2009,0,0
Haut-Uele,January,2010,0,0
Haut-Uele,February,2010,0,0
Haut-Uele,March,2010,0,0
Haut-Uele,April,2010,0,0
Haut-Uele,May,2010,0,0
Haut-Uele,June,2010,0,0
Haut-Uele,July,2010,0,0
Haut-Uele,August,2010,0,0
Haut-Uele,September,2010,0,0
Haut-Uele,October,2010,0,0
Haut-Uele,November,2010,0,0
Haut-Uele,December,2010,0,0
Haut-Uele,January,2011,0,0
Haut-Uele,February,2011,0,0
Haut-Uele,March,2011,0,0
Haut-Uele,April,2011,1,0
Haut-Uele,May,2011,0,0
Haut-Uele,June,2011,0,0
Haut-Uele,July,2011,0,0
Haut-Uele,August,2011,0,0
Haut-Uele,September,2011,0,0
Haut-Uele,October,2011,0,0
Haut-Uele,November,2011,0,0
Haut-Uele,December,2011,0,0
Haut-Uele,January,2012,0,0
Haut-Uele,February,2012,0,0
Haut-Uele,March,2012,0,0
Haut-Uele,April,2012,0,0
Haut-Uele,May,2012,0,0
Haut-Uele,June,2012,0,0
Haut-Uele,July,2012,0,0
Haut-Uele,August,2012,0,0
Haut-Uele,September,2012,0,0
Haut-Uele,October,2012,0,0
Haut-Uele,November,2012,0,0
Haut-Uele,December,2012,0,0
Haut-Uele,January,2013,0,0
Haut-Uele,February,2013,0,0
Haut-Uele,March,2013,0,0
Haut-Uele,April,2013,0,0
Haut-Uele,May,2013,0,0
Haut-Uele,June,2013,0,0
Haut-Uele,July,2013,0,0
Haut-Uele,August,2013,0,0
Haut-Uele,September,2013,0,0
Haut-Uele,October,2013,0,0
Haut-Uele,November,2013,0,0
Haut-Uele,December,2013,0,0
Haut-Uele,January,2014,0,0
Haut-Uele,February,2014,0,0
Haut-Uele,March,2014,0,0
Haut-Uele,April,2014,0,0
Haut-Uele,May,2014,0,0
Haut-Uele,June,2014,0,0
Haut-Uele,July,2014,0,0
Haut-Uele,August,2014,0,0
Haut-Uele,September,2014,0,0
Haut-Uele,October,2014,0,0
Haut-Uele,November,2014,0,0
Haut-Uele,December,2014,0,0
Haut-Uele,January,2015,0,0
Haut-Uele,February,2015,0,0
Haut-Uele,March,2015,0,0
Haut-Uele,April,2015,0,0
Haut-Uele,May,2015,0,0
Haut-Uele,June,2015,0,0
Haut-Uele,July,2015,0,0
Haut-Uele,August,2015,0,0
Haut-Uele,September,2015,0,0
Haut-Uele,October,2015,0,0
Haut-Uele,November,2015,0,0
Haut-Uele,December,2015,0,0
Haut-Uele,January,2016,0,0
Haut-Uele,February,2016,0,0
Haut-Uele,March,2016,0,0
Haut-Uele,April,2016,0,0
Haut-Uele,May,2016,0,0
Haut-Uele,June,2016,0,0
Haut-Uele,July,2016,0,0
Haut-Uele,August,2016,0,0
Haut-Uele,September,2016,0,0
Haut-Uele,October,2016,0,0
Haut-Uele,November,2016,0,0
Haut-Uele,December,2016,0,0
Haut-Uele,January,2017,0,0
Haut-Uele,February,2017,0,0
Haut-Uele,March,2017,0,0
Haut-Uele,April,2017,0,0
Haut-Uele,May,2017,0,0
Haut-Uele,June,2017,0,0
Haut-Uele,July,2017,0,0
Haut-Uele,August,2017,0,0
Haut-Uele,September,2017,0,0
Haut-Uele,October,2017,0,0
Haut-Uele,November,2017,0,0
Haut-Uele,December,2017,0,0
Haut-Uele,January,2018,0,0
Haut-Uele,February,2018,0,0
Haut-Uele,March,2018,0,0
Haut-Uele,April,2018,0,0
Haut-Uele,May,2018,0,0
Haut-Uele,June,2018,0,0
Haut-Uele,July,2018,0,0
Haut-Uele,August,2018,0,0
Haut-Uele,September,2018,0,0
Haut-Uele,October,2018,0,0
Haut-Uele,November,2018,0,0
Haut-Uele,December,2018,0,0
Haut-Uele,January,2019,0,0
Haut-Uele,February,2019,0,0
Haut-Uele,March,2019,0,0
Haut-Uele,April,2019,0,0
Haut-Uele,May,2019,0,0
Haut-Uele,June,2019,0,0
Haut-Uele,July,2019,0,0
Haut-Uele,August,2019,0,0
Haut-Uele,September,2019,0,0
Haut-Uele,October,2019,0,0
Haut-Uele,November,2019,0,0
Haut-Uele,December,2019,0,0
Haut-Uele,January,2020,0,0
Haut-Uele,February,2020,0,0
Haut-Uele,March,2020,0,0
Haut-Uele,April,2020,0,0
Haut-Uele,May,2020,0,0
Haut-Uele,June,2020,0,0
Haut-Uele,July,2020,0,0
Haut-Uele,August,2020,0,0
Haut-Uele,September,2020,0,0
Haut-Uele,October,2020,0,0
Haut-Uele,November,2020,0,0
Haut-Uele,December,2020,0,0
Haut-Uele,January,2021,0,0
Haut-Uele,March,2021,0,0
Haut-Uele,April,2021,0,0
Haut-Uele,May,2021,0,0
Haut-Uele,June,2021,0,0
Haut-Uele,July,2021,0,0
Haut-Uele,August,2021,0,0
Haut-Uele,September,2021,0,0
Haut-Uele,October,2021,0,0
Haut-Uele,November,2021,0,0
Haut-Uele,December,2021,0,0
Haut-Uele,January,2022,0,0
Haut-Uele,February,2022,0,0
Haut-Uele,March,2022,0,0
Haut-Uele,April,2022,0,0
Haut-Uele,May,2022,0,0
Haut-Uele,June,2022,0,0
Haut-Uele,July,2022,0,0
Haut-Uele,August,2022,0,0
Haut-Uele,September,2022,0,0
Haut-Uele,October,2022,0,0
Haut-Uele,November,2022,0,0
Haut-Uele,December,2022,0,0
Haut-Uele,January,2023,0,0
Haut-Uele,February,2023,0,0
Haut-Uele,March,2023,0,0
Haut-Uele,April,2023,0,0
Haut-Uele,May,2023,0,0
Haut-Uele,June,2023,0,0
Haut-Uele,July,2023,0,0
Haut-Uele,August,2023,0,0
Haut-Uele,September,2023,0,0
Haut-Uele,October,2023,0,0
Haut-Uele,November,2023,0,0
Haut-Uele,December,2023,0,0
Haut-Uele,January,2024,0,0
Haut-Uele,February,2024,1,0
Haut-Uele,March,2024,0,0
Haut-Uele,April,2024,0,0
Haut-Uele,May,2024,0,0
Haut-Uele,June,2024,0,0
Haut-Uele,July,2024,0,0
Haut-Uele,August,2024,0,0
Haut-Uele,September,2024,0,0
Haut-Uele,October,2024,0,0
Haut-Uele,November,2024,0,0
Haut-Uele,December,2024,0,0
Haut-Uele,January,2025,0,0
Haut-Uele,February,2025,0,0
Haut-Uele,March,2025,0,0
Haut-Uele,April,2025,0,0
Haut-Uele,May,2025,0,0
Haut-Uele,June,2025,0,0
Haut-Uele,July,2025,0,0
Haut-Uele,August,2025,0,0
Haut-Uele,September,2025,0,0
Haut-Uele,October,2025,0,0
Haut-Uele,November,2025,0,0
Haut-Uele,December,2025,0,0
Haut-Uele,January,2026,0,0
Haut-Uele,April,2009,2,1
Haut-Uele,February,2021,1,1
Haut-Uele,July,2009,3,8
Bas-Uele,January,1997,0,0
Bas-Uele,February,1997,0,0
Bas-Uele,March,1997,0,0
Bas-Uele,April,1997,0,0
Bas-Uele,May,1997,0,0
Bas-Uele,June,1997,0,0
Bas-Uele,July,1997,0,0
Bas-Uele,August,1997,0,0
Bas-Uele,September,1997,0,0
Bas-Uele,October,1997,0,0
Bas-Uele,November,1997,0,0
Bas-Uele,December,1997,0,0
Bas-Uele,January,1998,0,0
Bas-Uele,February,1998,0,0
Bas-Uele,March,1998,0,0
Bas-Uele,April,1998,0,0
Bas-Uele,May,1998,0,0
Bas-Uele,June,1998,0,0
Bas-Uele,July,1998,0,0
Bas-Uele,August,1998,0,0
Bas-Uele,September,1998,0,0
Bas-Uele,October,1998,1,0
Bas-Uele,December,1998,0,0
Bas-Uele,January,1999,0,0
Bas-Uele,February,1999,0,0
Bas-Uele,March,1999,0,0
Bas-Uele,April,1999,0,0
Bas-Uele,May,1999,0,0
Bas-Uele,June,1999,0,0
Bas-Uele,July,1999,0,0
Bas-Uele,August,1999,0,0
Bas-Uele,September,1999,1,0
Bas-Uele,November,1999,0,0
Bas-Uele,December,1999,0,0
Bas-Uele,January,2000,0,0
Bas-Uele,February,2000,0,0
Bas-Uele,March,2000,0,0
Bas-Uele,April,2000,0,0
Bas-Uele,May,2000,0,0
Bas-Uele,June,2000,0,0
Bas-Uele,July,2000,0,0
Bas-Uele,August,2000,0,0
Bas-Uele,September,2000,0,0
Bas-Uele,October,2000,0,0
Bas-Uele,November,2000,0,0
Bas-Uele,December,2000,0,0
Bas-Uele,January,2001,0,0
Bas-Uele,February,2001,0,0
Bas-Uele,March,2001,0,0
Bas-Uele,April,2001,0,0
